,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m7.2022-07-16.maze_cluster0,m7.2022-07-16.maze_cluster1,m7.2022-07-16.maze_cluster2,m7.2022-07-16.maze_cluster3,m7.2022-07-16.maze_cluster4,m7.2022-07-16.maze_cluster5,m7.2022-07-16.maze_cluster6,m7.2022-07-16.maze_cluster7,m7.2022-07-16.maze_cluster8,m7.2022-07-16.maze_cluster9,m7.2022-07-16.maze_cluster10,m7.2022-07-16.maze_cluster11,m7.2022-07-16.maze_cluster12,m7.2022-07-16.maze_cluster13,m7.2022-07-16.maze_cluster14,m7.2022-07-16.maze_cluster15,m7.2022-07-16.maze_cluster16,m7.2022-07-16.maze_cluster17,m7.2022-07-16.maze_cluster18,m7.2022-07-16.maze_cluster19,m7.2022-07-16.maze_cluster20,m7.2022-07-16.maze_cluster21,m7.2022-07-16.maze_cluster22,m7.2022-07-16.maze_cluster23,m7.2022-07-16.maze_cluster24,m7.2022-07-16.maze_cluster25,m7.2022-07-16.maze_cluster26,m7.2022-07-16.maze_cluster27,m7.2022-07-16.maze_cluster28,m7.2022-07-16.maze_cluster29,m7.2022-07-16.maze_cluster30,m7.2022-07-16.maze_cluster31,m7.2022-07-16.maze_cluster32,m7.2022-07-16.maze_cluster33,m7.2022-07-16.maze_cluster34,m7.2022-07-16.maze_cluster35,m7.2022-07-16.maze_cluster36,m7.2022-07-16.maze_cluster37,m7.2022-07-16.maze_cluster38,m7.2022-07-16.maze_cluster39,m7.2022-07-16.maze_cluster40,m7.2022-07-16.maze_cluster41,m7.2022-07-16.maze_cluster42,m7.2022-07-16.maze_cluster43,m7.2022-07-16.maze_cluster44,m7.2022-07-16.maze_cluster45,m7.2022-07-16.maze_cluster46,m7.2022-07-16.maze_cluster47,m7.2022-07-16.maze_cluster48,m7.2022-07-16.maze_cluster49,m7.2022-07-16.maze_cluster50,m7.2022-07-16.maze_cluster51,m7.2022-07-16.maze_cluster52,m7.2022-07-16.maze_cluster53,m7.2022-07-16.maze_cluster54,m7.2022-07-16.maze_cluster55,m7.2022-07-16.maze_cluster56,m7.2022-07-16.maze_cluster57,m7.2022-07-16.maze_cluster58,m7.2022-07-16.maze_cluster59,m7.2022-07-16.maze_cluster60,m7.2022-07-16.maze_cluster61,m7.2022-07-16.maze_cluster62,m7.2022-07-16.maze_cluster63,m7.2022-07-16.maze_cluster64,m7.2022-07-16.maze_cluster65,m7.2022-07-16.maze_cluster66,m7.2022-07-16.maze_cluster67,m7.2022-07-16.maze_cluster68,m7.2022-07-16.maze_cluster69,m7.2022-07-16.maze_cluster70,m7.2022-07-16.maze_cluster71,m7.2022-07-16.maze_cluster72,m7.2022-07-16.maze_cluster73,m7.2022-07-16.maze_cluster74,m7.2022-07-16.maze_cluster75,m7.2022-07-16.maze_cluster76,m7.2022-07-16.maze_cluster77,m7.2022-07-16.maze_cluster78,m7.2022-07-16.maze_cluster79,m7.2022-07-16.maze_cluster80,m7.2022-07-16.maze_cluster81,m7.2022-07-16.maze_cluster82,m7.2022-07-16.maze_cluster83,m7.2022-07-16.maze_cluster84,m7.2022-07-16.maze_cluster85,m7.2022-07-16.maze_cluster86,m7.2022-07-16.maze_cluster87,m7.2022-07-16.maze_cluster88,m7.2022-07-16.maze_cluster89,m7.2022-07-16.maze_cluster90,m7.2022-07-16.maze_cluster91,m7.2022-07-16.maze_cluster92,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m7.2022-07-16.maze_trial1,0.0,7.264818475377695,0.034482758620689655,0.1724137931034483,0.0,0.0,0.034482758620689655,0.7241379310344828,0.10344827586206896,0.0,0.0,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.1724137931034483,0.0,0.7241379310344828,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.27586206896551724,0.27586206896551724,0.13793103448275862,0.13793103448275862,0.0,0.5517241379310345,0.0,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,3.4482758620689653,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.5862068965517241,0.06896551724137931,0.034482758620689655,0.0,0.0,0.3793103448275862,0.6206896551724138,0.034482758620689655,0.0,0.4482758620689655,0.1724137931034483,0.0,0.1724137931034483,0.0,0.2413793103448276,0.0,0.0,0.41379310344827586,0.0,0.0,0.5517241379310345,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.6551724137931034,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,1.473088306740269,1.1086038802844818,2.6277545496613897,1.3294827586206897,0.7657146906087394,0.1450382743400745,110.74934336604113,1.1544105e-09,0.00027949014000000006,0.9095836,1.8708937e-06,4.2616339999999997e-05,0.044039074,0.010180025,0.021886537000000005,0.00021700875,0.00014369238999999997,0.013626084331889499,3.0,0,0,0,1,0,,,,0.11601724137931102,
1,m7.2022-07-16.maze_trial1,1.0,7.7796404682274245,0.0,0.35714285714285715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.10714285714285714,0.0,0.0,0.0,0.17857142857142858,0.6071428571428571,0.0,0.10714285714285714,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.32142857142857145,0.0,0.0,0.0,0.32142857142857145,0.4642857142857143,0.10714285714285714,0.17857142857142858,0.0,0.03571428571428571,0.0,0.0,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.0,0.32142857142857145,0.03571428571428571,0.0,2.0714285714285716,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.0,0.0,0.0,0.6785714285714286,0.5,0.14285714285714285,0.0,0.14285714285714285,0.10714285714285714,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,0.17857142857142858,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,1.4040184004836676,1.129752691832445,2.546701593996364,1.4105357142857144,0.8394009091446495,0.15511118650268713,84.38893283563779,1.1544105e-09,0.00027949014,0.9095836,1.8708937e-06,4.261634e-05,0.044039074,0.010180025,0.021886537,0.00021700875,0.00014369239,0.013626084331889499,3.0,0,0,0,1,0,,,,0.11601724137931102,
2,m7.2022-07-16.maze_trial1,2.0,8.27494314381271,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.1,0.06666666666666667,0.4666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.4,0.3,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,1.2333333333333334,0.1,0.03333333333333333,0.0,0.2,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.0,0.0,0.3,0.4666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.13333333333333333,0.0,0.36666666666666664,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.3883807102406391,1.1384199576606167,2.5172373082820787,1.44,0.8638781027937837,0.15641487263264206,76.57353157998654,1.1544105e-09,0.00027949014,0.9095836,1.8708937e-06,4.261634e-05,0.044039074,0.010180025,0.021886537,0.00021700875,0.00014369239,0.013626084331889499,3.0,0,0,0,1,0,,,,0.11601724137931102,
3,m7.2022-07-16.maze_trial1,3.0,8.774509057971015,0.0,0.1,0.0,0.0,0.0,0.6,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.1,0.03333333333333333,0.5,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.26666666666666666,0.4,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.3333333333333333,0.0,0.0,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,1.2,0.06666666666666667,0.03333333333333333,0.0,0.4,0.5333333333333333,0.3,0.03333333333333333,0.06666666666666667,0.0,0.0,0.1,0.26666666666666666,0.1,0.0,0.36666666666666664,0.1,0.0,0.16666666666666666,0.0,0.2,0.0,0.0,0.4666666666666667,0.0,0.0,0.4,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.38752038874465,1.1351589036021914,2.5117373082820786,1.4348145502712986,0.8697948733848879,0.1616233587764105,65.21135053732114,1.1544105e-09,0.00027949014,0.9095836,1.8708937e-06,4.261634e-05,0.044039074,0.010180025,0.021886537,0.00021700875,0.00014369239,0.013626084331889499,3.0,0,0,0,1,0,,,,0.11601724137931102,
4,m7.2022-07-16.maze_trial1,4.0,9.274182971014492,0.0,0.3,0.0,0.0,0.0,0.8333333333333334,0.13333333333333333,0.1,0.03333333333333333,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.5666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.13333333333333333,0.03333333333333333,0.1,0.0,0.0,0.1,0.0,0.9666666666666667,0.16666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.06666666666666667,0.0,0.0,0.0,0.36666666666666664,0.5666666666666667,0.1,0.0,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,1.3056172161593114,1.0590564296244256,2.4330706416154118,1.3550739418023159,0.8614844950840376,0.2308566702509852,111.5793240884478,1.092931072e-09,0.0014301367973333333,0.9127950200000001,2.4599996533333334e-06,4.140765033333333e-05,0.041103212258206664,0.009507537392666666,0.021519547000000003,0.00020304563469999997,0.00040775429733333333,0.012989877876842264,2.0,0,0,1,0,0,,,0.38235702178698716,,
5,m7.2022-07-16.maze_trial1,5.0,9.773856884057972,0.1,0.16666666666666666,0.0,0.0,0.0,0.9333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.6333333333333333,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.23333333333333334,0.03333333333333333,0.0,0.0,0.16666666666666666,0.4666666666666667,0.1,0.2,0.03333333333333333,0.43333333333333335,0.0,0.0,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,1.7333333333333334,0.1,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.5,0.0,0.0,0.03333333333333333,0.1,0.43333333333333335,0.7,0.36666666666666664,0.0,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.1,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.1895473769073064,0.9519815473542192,2.318403974948745,1.2411666666666668,0.8618888374688389,0.3495809693852422,25.785950775055476,2.3221908e-10,0.01753919,0.9577549,1.0707483e-05,2.4485995e-05,1.1478731e-06,9.271089e-05,0.016381687,7.5620205e-06,0.004104621,0.004082987506180968,2.0,0,0,1,0,0,,,0.38235702178698716,,
6,m7.2022-07-16.maze_trial1,6.0,10.273530797101449,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.9666666666666667,0.13333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.03333333333333333,0.03333333333333333,0.7,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.16666666666666666,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.16666666666666666,0.6333333333333333,0.06666666666666667,0.1,0.0,0.16666666666666666,0.0,0.0,0.26666666666666666,0.1,0.1,0.0,0.0,0.0,0.0,2.7333333333333334,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.6,0.03333333333333333,0.0,0.0,0.1,0.16666666666666666,0.4666666666666667,0.13333333333333333,0.0,0.23333333333333334,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.03333333333333333,0.3333333333333333,0.03333333333333333,0.1,0.03333333333333333,0.0,0.0,0.0,1.1008807102406395,0.8704646189198287,2.2061198802499926,1.1524999999999999,0.8755117031731251,0.44203165121263294,23.649494611716026,2.3996494e-09,0.014627279715,0.9592608433333333,1.1820478333333334e-05,2.4286064666666666e-05,0.0032727915609166666,8.1677353e-05,0.015127808666666666,6.30186496155e-06,0.0034205175633463935,0.004166671000126039,2.0,0,0,1,0,0,,,0.38235702178698716,,
7,m7.2022-07-16.maze_trial1,7.0,10.773204710144928,0.0,0.5,0.0,0.0,0.0,0.6333333333333333,0.03333333333333333,0.0,0.0,0.2,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.43333333333333335,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.23333333333333334,0.8666666666666667,0.23333333333333334,0.13333333333333333,0.06666666666666667,0.2,0.0,0.0,0.2,0.13333333333333333,0.2,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,1.4,0.03333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0,0.0,0.4666666666666667,0.23333333333333334,0.16666666666666666,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,1.0836363787950078,0.8292046551091402,2.133659643503113,1.1180011904458227,0.89359265498395,0.49314999933413467,39.24043094270732,1.3236801e-08,6.772828999999999e-05,0.96679056,1.7385455e-05,2.3286413e-05,0.01963101,2.6509668e-05,0.008858417,1.0872693e-09,3.8007836e-10,0.004585088469851395,2.0,0,0,1,0,0,,,0.38235702178698716,,
8,m7.2022-07-16.maze_trial1,8.0,11.272878623188406,0.0,0.2,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.03333333333333333,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.7333333333333333,0.13333333333333333,0.3,0.03333333333333333,0.1,0.0,0.0,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,1.5,0.2,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.2,0.36666666666666664,0.13333333333333333,0.0,0.1,0.0,0.0,0.1,0.0,0.03333333333333333,0.0,0.0,0.43333333333333335,0.0,0.0,0.36666666666666664,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.1278570217869865,0.8407182428291576,2.1093802864950915,1.1536666666666666,0.9433532331697468,0.5098916899983063,78.11008317394794,1.3236801e-08,6.772828999999999e-05,0.96679056,1.7385455e-05,2.3286413e-05,0.01963101,2.6509668e-05,0.008858417,1.0872693e-09,3.8007836e-10,0.004585088469851395,2.0,0,0,1,0,0,,,0.38235702178698716,,
