,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-12.maze_cluster0,m4.2022-07-12.maze_cluster1,m4.2022-07-12.maze_cluster2,m4.2022-07-12.maze_cluster3,m4.2022-07-12.maze_cluster4,m4.2022-07-12.maze_cluster5,m4.2022-07-12.maze_cluster6,m4.2022-07-12.maze_cluster7,m4.2022-07-12.maze_cluster8,m4.2022-07-12.maze_cluster9,m4.2022-07-12.maze_cluster10,m4.2022-07-12.maze_cluster11,m4.2022-07-12.maze_cluster12,m4.2022-07-12.maze_cluster13,m4.2022-07-12.maze_cluster14,m4.2022-07-12.maze_cluster15,m4.2022-07-12.maze_cluster16,m4.2022-07-12.maze_cluster17,m4.2022-07-12.maze_cluster18,m4.2022-07-12.maze_cluster19,m4.2022-07-12.maze_cluster20,m4.2022-07-12.maze_cluster21,m4.2022-07-12.maze_cluster22,m4.2022-07-12.maze_cluster23,m4.2022-07-12.maze_cluster24,m4.2022-07-12.maze_cluster25,m4.2022-07-12.maze_cluster26,m4.2022-07-12.maze_cluster27,m4.2022-07-12.maze_cluster28,m4.2022-07-12.maze_cluster29,m4.2022-07-12.maze_cluster30,m4.2022-07-12.maze_cluster31,m4.2022-07-12.maze_cluster32,m4.2022-07-12.maze_cluster33,m4.2022-07-12.maze_cluster34,m4.2022-07-12.maze_cluster35,m4.2022-07-12.maze_cluster36,m4.2022-07-12.maze_cluster37,m4.2022-07-12.maze_cluster38,m4.2022-07-12.maze_cluster41,m4.2022-07-12.maze_cluster42,m4.2022-07-12.maze_cluster43,m4.2022-07-12.maze_cluster44,m4.2022-07-12.maze_cluster45,m4.2022-07-12.maze_cluster46,m4.2022-07-12.maze_cluster47,m4.2022-07-12.maze_cluster48,m4.2022-07-12.maze_cluster49,m4.2022-07-12.maze_cluster50,m4.2022-07-12.maze_cluster51,m4.2022-07-12.maze_cluster52,m4.2022-07-12.maze_cluster53,m4.2022-07-12.maze_cluster54,m4.2022-07-12.maze_cluster55,m4.2022-07-12.maze_cluster56,m4.2022-07-12.maze_cluster57,m4.2022-07-12.maze_cluster58,m4.2022-07-12.maze_cluster59,m4.2022-07-12.maze_cluster60,m4.2022-07-12.maze_cluster61,m4.2022-07-12.maze_cluster62,m4.2022-07-12.maze_cluster63,m4.2022-07-12.maze_cluster64,m4.2022-07-12.maze_cluster65,m4.2022-07-12.maze_cluster66,m4.2022-07-12.maze_cluster67,m4.2022-07-12.maze_cluster68,m4.2022-07-12.maze_cluster69,m4.2022-07-12.maze_cluster70,m4.2022-07-12.maze_cluster71,m4.2022-07-12.maze_cluster72,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-12.maze_trial1,0.0,7.273563302752293,0.07142857142857142,0.0,0.25,0.25,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.42857142857142855,0.10714285714285714,0.14285714285714285,0.8214285714285714,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.0,0.0,0.2857142857142857,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.21428571428571427,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.0,0.42857142857142855,0.03571428571428571,0.0,0.0,0.14285714285714285,0.10714285714285714,0.0,0.10714285714285714,1.6967614204812782,0.8049844718999241,1.8488565980414382,1.0799999999999996,0.31458094062722364,1.05731378224388,90.27862725863797,9.459318000000001e-08,0.002756353,0.0013383278,0.00025825514,2.26221e-09,0.001043377,0.7784711,0.0018613464,0.00067991554,0.0044074077,0.20918382056460993,0.0,1,0,0,0,0,0.0075862068965517615,,,,
1,m4.2022-07-12.maze_trial1,1.0,7.768946788990825,0.034482758620689655,0.0,0.06896551724137931,0.1724137931034483,0.10344827586206896,0.1724137931034483,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.1724137931034483,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.0,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.0,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.5517241379310345,0.06896551724137931,0.0,0.0,0.13793103448275862,0.10344827586206896,0.0,0.0,0.27586206896551724,0.06896551724137931,0.13793103448275862,0.0,0.0,0.10344827586206896,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.10344827586206896,0.13793103448275862,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,1.6954264388495706,0.8104004047567224,1.8412703911448864,1.0880463875100534,0.31262407335295916,1.061203940956423,86.53272308524939,9.459318e-08,0.002756353,0.0013383278,0.00025825514,2.26221e-09,0.001043377,0.7784711,0.0018613464,0.00067991554,0.004407407699999999,0.2091838205646099,0.0,1,0,0,0,0,0.0075862068965517615,,,,
2,m4.2022-07-12.maze_trial1,2.0,8.260757798165137,0.0,0.03333333333333333,0.06666666666666667,0.1,0.0,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.1,0.16666666666666666,0.0,0.2,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.2,0.06666666666666667,0.0,0.5,0.13333333333333333,0.0,0.0,0.13333333333333333,0.1,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.16666666666666666,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.7333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,1.6576693307573476,0.843636485713984,1.785523264708105,1.1472054232365587,0.31502916067859843,1.0955297912391337,46.123573167300144,9.459318e-08,0.002756353,0.0013383278,0.00025825514,2.26221e-09,0.001043377,0.7784710999999999,0.0018613464000000002,0.00067991554,0.0044074077,0.20918382056460993,2.0,0,0,1,0,0,,,0.14949999999999997,,
3,m4.2022-07-12.maze_trial1,3.0,8.760904587155961,0.1,0.0,0.03333333333333333,0.2,0.0,0.2,0.1,0.0,0.1,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.1,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.3,0.23333333333333334,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.26666666666666666,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.13333333333333333,0.06666666666666667,0.1,0.0,0.43333333333333335,0.16666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.5857614204812784,0.8605273754623474,1.6688565980414383,1.1909999999999996,0.32711673273797637,1.1577823586960023,42.84839078888193,9.459318e-08,0.002756353,0.0013383278,0.00025825514,2.26221e-09,0.001043377,0.7784710999999999,0.0018613464000000002,0.00067991554,0.0044074077,0.20918382056460993,2.0,0,0,1,0,0,,,0.14949999999999997,,
4,m4.2022-07-12.maze_trial1,4.0,9.261005562459642,0.03333333333333333,0.0,0.1,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.1,0.3,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.1,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.1,0.03333333333333333,0.0,0.0,0.6333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.03333333333333333,0.1,0.0,0.0,1.5155758030516895,0.8678079287704464,1.636023264708105,1.2161666666666664,0.3648502274855162,1.2194616063579216,70.84401271373117,9.459318e-08,0.002756353,0.0013383278,0.00025825514,2.26221e-09,0.001043377,0.7784710999999999,0.0018613464000000002,0.00067991554,0.0044074077,0.20918382056460993,2.0,0,0,1,0,0,,,0.14949999999999997,,
5,m4.2022-07-12.maze_trial1,5.0,9.761026892430278,0.0,0.0,0.2,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.3333333333333333,0.23333333333333334,0.3,0.2,0.16666666666666666,0.06666666666666667,0.0,0.23333333333333334,0.1,0.0,0.0,0.1,0.03333333333333333,0.0,0.03333333333333333,0.13333333333333333,0.0,0.36666666666666664,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.2,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.1,0.03333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.26666666666666666,0.1,0.06666666666666667,0.0,0.0,0.0,0.1,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.16666666666666666,0.0,0.06666666666666667,0.0,0.03333333333333333,1.3911314292315031,0.7783354823868684,1.5174169619119826,1.0986666666666665,0.47182849637882524,1.209006657021071,150.46166563765598,7.249262816600001e-05,0.001126936351,0.0006106212323333333,0.00013054044600000001,1.2688984233333334e-09,0.0004639257413333334,0.9073271683333334,0.0007790234016666667,0.0003237629403333333,0.0016844009196666668,0.08748112673726888,0.0,1,0,0,0,0,0.9517744074445166,,,,
6,m4.2022-07-12.maze_trial1,6.0,10.261046812749004,0.03333333333333333,0.0,0.16666666666666666,0.1,0.26666666666666666,0.43333333333333335,0.36666666666666664,0.26666666666666666,0.13333333333333333,0.1,0.23333333333333334,0.23333333333333334,0.3,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.23333333333333334,0.16666666666666666,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.13333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.1,0.16666666666666666,0.0,0.0,0.0,0.23333333333333334,0.16666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,1.2428807102406396,0.6695058705214408,1.3691662429211189,0.9344999999999997,0.5015688830070224,1.081806397880783,184.55503345075883,0.00012561308733333333,0.00011370235683333334,0.00016278144733333335,0.0001325869776666667,5.969911743333335e-10,9.16987355e-05,0.9842173916666667,7.97532719e-05,0.00014141323433333335,5.5814499e-05,0.014879244126442074,0.0,1,0,0,0,0,0.9517744074445166,,,,
7,m4.2022-07-12.maze_trial1,7.0,10.76106673306773,0.06666666666666667,0.0,0.4,0.2,0.3333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.1,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,0.1,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.13333333333333333,0.0,0.0,0.03333333333333333,0.0,0.3333333333333333,0.1,0.13333333333333333,0.1,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,1.0888807102406397,0.5856258023362418,1.215166242921119,0.7804999999999997,0.5156444110127241,0.9410395053835354,162.14166868319384,0.00020245505666666668,4.882750423197667e-05,9.827904463756167e-05,0.00014711563,4.2732934000000007e-10,0.03850278626333334,0.9477889333333334,2.5124066982756668e-05,0.00014166364999999997,1.7097556270783335e-05,0.01302771746721417,0.0,1,0,0,0,0,0.9517744074445166,,,,
8,m4.2022-07-12.maze_trial1,8.0,11.261086653386455,0.0,0.0,0.26666666666666666,0.2,0.06666666666666667,0.2,0.16666666666666666,0.13333333333333333,0.2,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.3333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.2,0.0,0.0,0.36666666666666664,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.1,0.1,0.03333333333333333,0.0,0.0,0.0,0.13333333333333333,0.23333333333333334,0.2,0.03333333333333333,0.0,0.0,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.36666666666666664,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.9180585021432691,0.46821907708226923,1.0443440348237487,0.6066666666666662,0.6178895935622132,0.8631332342745798,152.74970871814622,0.000299640525,2.60929279e-10,1.164253995e-10,0.00011766300400000001,2.66572787e-10,0.17275523399999998,0.802654575,0.011128883586463788,0.000132734814,1.7379357e-10,0.0129112682528152,0.0,1,0,0,0,0,0.9517744074445166,,,,
