,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-07.maze_cluster0,m4.2022-07-07.maze_cluster1,m4.2022-07-07.maze_cluster2,m4.2022-07-07.maze_cluster3,m4.2022-07-07.maze_cluster4,m4.2022-07-07.maze_cluster5,m4.2022-07-07.maze_cluster6,m4.2022-07-07.maze_cluster7,m4.2022-07-07.maze_cluster8,m4.2022-07-07.maze_cluster9,m4.2022-07-07.maze_cluster10,m4.2022-07-07.maze_cluster11,m4.2022-07-07.maze_cluster12,m4.2022-07-07.maze_cluster13,m4.2022-07-07.maze_cluster14,m4.2022-07-07.maze_cluster15,m4.2022-07-07.maze_cluster16,m4.2022-07-07.maze_cluster17,m4.2022-07-07.maze_cluster18,m4.2022-07-07.maze_cluster19,m4.2022-07-07.maze_cluster20,m4.2022-07-07.maze_cluster21,m4.2022-07-07.maze_cluster22,m4.2022-07-07.maze_cluster23,m4.2022-07-07.maze_cluster24,m4.2022-07-07.maze_cluster25,m4.2022-07-07.maze_cluster26,m4.2022-07-07.maze_cluster27,m4.2022-07-07.maze_cluster28,m4.2022-07-07.maze_cluster29,m4.2022-07-07.maze_cluster30,m4.2022-07-07.maze_cluster32,m4.2022-07-07.maze_cluster33,m4.2022-07-07.maze_cluster34,m4.2022-07-07.maze_cluster35,m4.2022-07-07.maze_cluster36,m4.2022-07-07.maze_cluster37,m4.2022-07-07.maze_cluster38,m4.2022-07-07.maze_cluster39,m4.2022-07-07.maze_cluster40,m4.2022-07-07.maze_cluster41,m4.2022-07-07.maze_cluster42,m4.2022-07-07.maze_cluster43,m4.2022-07-07.maze_cluster44,m4.2022-07-07.maze_cluster46,m4.2022-07-07.maze_cluster47,m4.2022-07-07.maze_cluster48,m4.2022-07-07.maze_cluster49,m4.2022-07-07.maze_cluster50,m4.2022-07-07.maze_cluster51,m4.2022-07-07.maze_cluster52,m4.2022-07-07.maze_cluster53,m4.2022-07-07.maze_cluster54,m4.2022-07-07.maze_cluster55,m4.2022-07-07.maze_cluster56,m4.2022-07-07.maze_cluster57,m4.2022-07-07.maze_cluster58,m4.2022-07-07.maze_cluster59,m4.2022-07-07.maze_cluster60,m4.2022-07-07.maze_cluster61,m4.2022-07-07.maze_cluster62,m4.2022-07-07.maze_cluster63,m4.2022-07-07.maze_cluster64,m4.2022-07-07.maze_cluster65,m4.2022-07-07.maze_cluster66,m4.2022-07-07.maze_cluster67,m4.2022-07-07.maze_cluster68,m4.2022-07-07.maze_cluster69,m4.2022-07-07.maze_cluster70,m4.2022-07-07.maze_cluster71,m4.2022-07-07.maze_cluster72,m4.2022-07-07.maze_cluster73,m4.2022-07-07.maze_cluster74,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-07.maze_trial1,0.0,6.253956112852665,0.06896551724137931,0.0,0.0,0.5862068965517241,0.3103448275862069,0.41379310344827586,0.0,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.20689655172413793,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.2413793103448276,0.0,0.06896551724137931,0.10344827586206896,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.10344827586206896,0.10344827586206896,0.0,1.1379310344827587,0.13793103448275862,0.0,0.2413793103448276,0.10344827586206896,0.0,0.0,0.06896551724137931,0.3448275862068966,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862,0.0,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.13793103448275862,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.06896551724137931,0.0,1.2008452206838887,0.7503079440697815,3.79588420998017,0.9320689655172413,1.0461483690913846,0.4706467872259813,149.0988152177435,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,3.0,0,0,0,1,0,,,,0.0,
1,m4.2022-07-07.maze_trial1,1.0,6.766079545454545,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.3,0.0,0.03333333333333333,0.1,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.1,0.1,0.13333333333333333,0.0,0.8333333333333334,0.23333333333333334,0.0,0.4666666666666667,0.26666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.2,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.1,1.2724280871479459,0.7784763352380771,3.6431658191755725,1.0156666666666667,1.0584318294433008,0.3938983579973172,167.05317395673444,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,2.0,0,0,1,0,0,,,0.0,,
2,m4.2022-07-07.maze_trial1,2.0,7.273032915360501,0.06896551724137931,0.0,0.0,0.5517241379310345,0.3103448275862069,0.3448275862068966,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.0,0.0,0.0,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.0,0.13793103448275862,0.0,0.3103448275862069,0.0,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.4827586206896552,0.13793103448275862,0.0,0.4482758620689655,0.20689655172413793,0.034482758620689655,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.1724137931034483,0.034482758620689655,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.13793103448275862,0.0,0.034482758620689655,0.0,0.13793103448275862,0.0,1.3196924549640376,0.7984884775591762,3.609332485842239,1.0629310344827585,1.0630852360803806,0.35460812144809006,166.1892964946621,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,0.0,1,0,0,0,0,0.0,,,,
3,m4.2022-07-07.maze_trial1,3.0,7.7739545454545445,0.03571428571428571,0.0,0.0,0.5714285714285714,0.25,0.10714285714285714,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.39285714285714285,0.14285714285714285,0.0,0.35714285714285715,0.2857142857142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.10714285714285714,0.0,0.25,0.17857142857142858,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.336761420481279,0.8049844718999241,3.609332485842239,1.08,1.0658822930133027,0.340269073413671,169.20871159100807,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325000000002e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,0.0,1,0,0,0,0,0.0,,,,
4,m4.2022-07-07.maze_trial1,4.0,8.265397727272726,0.1,0.0,0.0,0.6,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.23333333333333334,0.16666666666666666,0.0,0.03333333333333333,0.2,0.06666666666666667,0.0,0.1,0.1,0.0,0.23333333333333334,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.6666666666666666,0.13333333333333333,0.0,0.3333333333333333,0.2,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.3,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.342261420481279,0.8133942282233483,3.609332485842239,1.087778174593052,1.079250067284143,0.32423051063175606,147.13881970622813,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,0.0,1,0,0,0,0,0.0,,,,
5,m4.2022-07-07.maze_trial1,5.0,8.765170454545455,0.03333333333333333,0.0,0.0,0.36666666666666664,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.06666666666666667,0.0,0.0,0.23333333333333334,0.0,0.06666666666666667,0.2,0.03333333333333333,0.0,0.36666666666666664,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.23333333333333334,0.06666666666666667,0.0,0.6,0.0,0.0,0.4,0.03333333333333333,0.2,0.0,0.03333333333333333,0.36666666666666664,0.0,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.3,0.23333333333333334,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.0,1.3495947538146125,0.8235491184672964,3.609332485842239,1.0981490740504547,1.0864235015389427,0.3315766420013774,117.47367497623878,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,0.0,1,0,0,0,0,0.0,,,,
6,m4.2022-07-07.maze_trial1,6.0,9.26494318181818,0.0,0.0,0.0,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.1,0.1,0.0,0.0,0.13333333333333333,0.2,0.2,0.03333333333333333,0.0,0.1,0.0,0.13333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.5666666666666667,0.2,0.0,0.36666666666666664,0.26666666666666666,0.2,0.06666666666666667,0.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.23333333333333334,0.0,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.1,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,1.3825947538146122,0.8398461590510525,3.609332485842239,1.1372242062985936,1.0681391203124064,0.3005549598432861,196.6084445889555,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,2.0,0,0,1,0,0,,,0.058333333333333126,,
7,m4.2022-07-07.maze_trial1,7.0,9.764715909090908,0.03333333333333333,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.16666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.2,0.0,0.06666666666666667,0.1,0.0,0.0,0.0,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.0,0.6,0.23333333333333334,0.0,0.4,0.36666666666666664,0.1,0.0,0.03333333333333333,0.7666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.0,0.0,0.1,0.2,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.03333333333333333,0.1,1.4127614204812788,0.8418503839029498,3.550999152508906,1.156,1.0478104683858482,0.254466061205095,200.2827463143743,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,2.0,0,0,1,0,0,,,0.058333333333333126,,
8,m4.2022-07-07.maze_trial1,8.0,10.264488636363636,0.03333333333333333,0.0,0.0,0.5666666666666667,0.3333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.0,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.0,0.1,0.0,0.06666666666666667,0.1,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.16666666666666666,0.1,0.03333333333333333,0.8666666666666667,0.1,0.0,0.26666666666666666,0.23333333333333334,0.1,0.0,0.03333333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.0,0.0,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.1,0.0,0.0,0.0,0.1,0.0,1.4419280871479456,0.8573165405334249,3.5393324858422393,1.1851666666666667,1.045837770664688,0.22358844054160618,203.63650432317917,1.1095859e-06,0.00037205426,0.00060358003,0.00047601876,0.00029372214,0.00014482463,2.0271325e-05,0.032679778,0.94879013,0.00021127204,0.016407239229099924,0.0,1,0,0,0,0,0.0,,,,
