,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-11.maze_cluster0,m4.2022-07-11.maze_cluster1,m4.2022-07-11.maze_cluster2,m4.2022-07-11.maze_cluster3,m4.2022-07-11.maze_cluster4,m4.2022-07-11.maze_cluster5,m4.2022-07-11.maze_cluster6,m4.2022-07-11.maze_cluster7,m4.2022-07-11.maze_cluster8,m4.2022-07-11.maze_cluster9,m4.2022-07-11.maze_cluster10,m4.2022-07-11.maze_cluster11,m4.2022-07-11.maze_cluster12,m4.2022-07-11.maze_cluster13,m4.2022-07-11.maze_cluster14,m4.2022-07-11.maze_cluster15,m4.2022-07-11.maze_cluster16,m4.2022-07-11.maze_cluster17,m4.2022-07-11.maze_cluster18,m4.2022-07-11.maze_cluster19,m4.2022-07-11.maze_cluster20,m4.2022-07-11.maze_cluster21,m4.2022-07-11.maze_cluster22,m4.2022-07-11.maze_cluster23,m4.2022-07-11.maze_cluster24,m4.2022-07-11.maze_cluster25,m4.2022-07-11.maze_cluster26,m4.2022-07-11.maze_cluster27,m4.2022-07-11.maze_cluster28,m4.2022-07-11.maze_cluster29,m4.2022-07-11.maze_cluster30,m4.2022-07-11.maze_cluster31,m4.2022-07-11.maze_cluster32,m4.2022-07-11.maze_cluster33,m4.2022-07-11.maze_cluster34,m4.2022-07-11.maze_cluster35,m4.2022-07-11.maze_cluster36,m4.2022-07-11.maze_cluster37,m4.2022-07-11.maze_cluster38,m4.2022-07-11.maze_cluster39,m4.2022-07-11.maze_cluster40,m4.2022-07-11.maze_cluster41,m4.2022-07-11.maze_cluster42,m4.2022-07-11.maze_cluster43,m4.2022-07-11.maze_cluster44,m4.2022-07-11.maze_cluster45,m4.2022-07-11.maze_cluster46,m4.2022-07-11.maze_cluster47,m4.2022-07-11.maze_cluster48,m4.2022-07-11.maze_cluster49,m4.2022-07-11.maze_cluster50,m4.2022-07-11.maze_cluster51,m4.2022-07-11.maze_cluster52,m4.2022-07-11.maze_cluster53,m4.2022-07-11.maze_cluster54,m4.2022-07-11.maze_cluster55,m4.2022-07-11.maze_cluster56,m4.2022-07-11.maze_cluster57,m4.2022-07-11.maze_cluster58,m4.2022-07-11.maze_cluster59,m4.2022-07-11.maze_cluster60,m4.2022-07-11.maze_cluster61,m4.2022-07-11.maze_cluster62,m4.2022-07-11.maze_cluster63,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-11.maze_trial1,0.0,8.267718120805368,0.0,0.0,0.45161290322580644,0.8709677419354839,0.03225806451612903,0.5806451612903226,0.0,0.03225806451612903,0.1935483870967742,0.22580645161290322,0.0,0.45161290322580644,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.1935483870967742,0.06451612903225806,0.2903225806451613,0.3225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.6129032258064516,0.12903225806451613,0.16129032258064516,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0967741935483871,0.03225806451612903,0.0,0.16129032258064516,0.0,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.3870967741935484,0.7741935483870968,0.0967741935483871,0.0967741935483871,0.0,0.0,0.41935483870967744,0.0967741935483871,0.3548387096774194,0.12903225806451613,0.0,0.0,0.0,1.3985356140296659,0.9779765795426483,2.222403388504824,1.143243983608421,1.1026630599650484,1.2407694722229707,251.4234995628357,0.00010404059,0.029399058,0.00033853327999999993,0.00037235836,0.08173085,0.33623695,3.6104947e-10,0.207523,0.33008146,0.00045786845,0.013755880958950528,2.0,0,0,1,0,0,,,0.7998323231438651,,
1,m4.2022-07-11.maze_trial1,1.0,8.773731543624162,0.0,0.0,0.4,0.8,0.03333333333333333,0.7666666666666667,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.36666666666666664,0.16666666666666666,0.13333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.1,0.1,0.2,0.03333333333333333,0.4666666666666667,0.3333333333333333,0.0,0.0,0.03333333333333333,0.1,0.0,0.0,0.03333333333333333,0.23333333333333334,0.1,0.23333333333333334,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.16666666666666666,0.2,0.06666666666666667,0.1,0.0,0.06666666666666667,0.5,0.0,0.6,0.0,0.0,0.0,0.0,1.3308629855866707,0.9041517122698823,2.121962900837561,1.084149074050455,1.0310658304863278,1.2534617633915273,266.14443819583533,0.00010404059,0.029399058,0.00033853328,0.00037235836,0.08173085,0.33623695,3.6104947e-10,0.207523,0.33008146,0.00045786845,0.013755880958950528,2.0,0,0,1,0,0,,,0.7998323231438651,,
2,m4.2022-07-11.maze_trial1,2.0,9.27144966442953,0.0,0.0,0.5,0.7,0.0,0.43333333333333335,0.0,0.0,0.06666666666666667,0.1,0.0,0.26666666666666666,0.4666666666666667,0.3,0.0,0.13333333333333333,0.0,0.13333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.26666666666666666,0.03333333333333333,0.16666666666666666,0.2,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.03333333333333333,0.1,0.03333333333333333,0.2,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.1,0.1,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.1,0.1,0.03333333333333333,0.0,0.3333333333333333,0.0,0.36666666666666664,0.03333333333333333,0.0,0.06666666666666667,0.0,1.2343059214251297,0.8031608820140356,1.9836899313747718,0.9761314814342429,0.9264427040859468,1.2485519294120304,257.95010402370855,0.000118209976,0.06285073826666666,0.0002684248266666666,0.0002482716438666667,0.10588755133333333,0.40271040599999997,3.5669256266666663e-10,0.23653215733333333,0.176142566556,0.00032082018666666664,0.014920853520774132,2.0,0,0,1,0,0,,,0.7998323231438651,,
3,m4.2022-07-11.maze_trial1,3.0,9.7691677852349,0.0,0.0,0.4,0.6666666666666666,0.0,0.9333333333333333,0.0,0.0,0.1,0.06666666666666667,0.0,0.23333333333333334,0.36666666666666664,0.1,0.0,0.03333333333333333,0.0,0.3333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.2,0.3,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.1,0.36666666666666664,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.1,0.1,0.23333333333333334,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.6333333333333333,0.2,0.36666666666666664,0.03333333333333333,0.0,0.0,0.03333333333333333,1.199071065360959,0.7564597661352577,1.9053565980414384,0.9233345237791561,0.8828172267944531,1.2498278908086202,254.1198571417174,0.00013440356,0.10108123,0.00018830088,0.000106458254,0.13349521,0.47868007,3.5171324e-10,0.26968548,0.00021240262,0.0001641936,0.01625225073428682,2.0,0,0,1,0,0,,,0.7998323231438651,,
4,m4.2022-07-11.maze_trial1,4.0,10.267210970254371,0.0,0.0,0.6333333333333333,0.8,0.0,1.3,0.0,0.0,0.03333333333333333,0.1,0.0,0.26666666666666666,0.23333333333333334,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.26666666666666666,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.2,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.26666666666666666,0.06666666666666667,0.43333333333333335,0.0,0.0,0.0,0.03333333333333333,1.1825710653609591,0.7421590126111789,1.8888565980414385,0.9000000000000001,0.8655295092968325,1.2492525798858927,231.64470577621347,0.00013440356,0.10108123,0.00018830088,0.000106458254,0.13349521,0.47868007,3.5171324e-10,0.26968548,0.00021240262,0.0001641936,0.01625225073428682,2.0,0,0,1,0,0,,,0.7998323231438651,,
5,m4.2022-07-11.maze_trial1,5.0,10.766862745098042,0.0,0.0,0.6,0.9333333333333333,0.0,0.6666666666666666,0.0,0.0,0.23333333333333334,0.1,0.0,0.1,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.16666666666666666,0.0,0.03333333333333333,0.03333333333333333,0.1,0.4,0.03333333333333333,0.4666666666666667,0.3333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.26666666666666666,0.16666666666666666,0.2,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.2,0.0,0.5,0.16666666666666666,0.0,0.03333333333333333,0.0,1.1546409046129644,0.7349117012108664,1.8384756759280252,0.8699072751356494,0.8587418026354477,1.1975390788387246,192.22417102503428,0.00013440356,0.10108123,0.00018830088,0.000106458254,0.13349521,0.47868007,3.5171324e-10,0.26968548,0.00021240262,0.0001641936,0.01625225073428682,2.0,0,0,1,0,0,,,0.7998323231438651,,
6,m4.2022-07-11.maze_trial1,6.0,11.26673202614379,0.0,0.0,0.6,1.2,0.0,0.7,0.0,0.0,0.0,0.13333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.1,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.23333333333333334,0.0,0.36666666666666664,0.36666666666666664,0.0,0.0,0.06666666666666667,0.03333333333333333,0.1,0.0,0.0,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.23333333333333334,0.16666666666666666,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.0,0.1,0.03333333333333333,0.1,0.36666666666666664,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,1.0995710653609592,0.7270796224397096,1.7637614204812786,0.8170000000000001,0.8608592151254612,1.1415417508691015,213.6341683483083,0.00013440356,0.10108123,0.00018830088,0.000106458254,0.13349521,0.47868007,3.5171324e-10,0.26968548,0.00021240262,0.0001641936,0.01625225073428682,2.0,0,0,1,0,0,,,0.7998323231438651,,
7,m4.2022-07-11.maze_trial1,7.0,11.766601307189545,0.0,0.0,0.3,0.5666666666666667,0.0,0.3,0.0,0.0,0.06666666666666667,0.2,0.0,0.23333333333333334,0.2,0.1,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.1,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.23333333333333334,0.13333333333333333,0.23333333333333334,0.0,0.0,0.1,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.0,0.3,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.36666666666666664,0.1,0.0,0.0,0.03333333333333333,0.9654822753460317,0.6487354847476554,1.6296726304663511,0.6618333333333334,0.7990714803650949,1.0658456302432315,247.7603839123344,8.558430266666666e-05,0.12150622966666667,8.121057416666668e-05,8.590890813333334e-05,0.14444678933333333,0.4825797966666666,5.44650298e-10,0.237836172,7.460303e-05,8.5180432e-05,0.013218524541716273,2.0,0,0,1,0,0,,,0.7998323231438651,,
8,m4.2022-07-11.maze_trial1,8.0,12.266470588235295,0.0,0.0,0.3,0.3333333333333333,0.03333333333333333,0.3,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.23333333333333334,0.3333333333333333,0.2,0.0,0.1,0.06666666666666667,0.03333333333333333,0.1,0.2,0.1,0.1,0.0,0.3,0.36666666666666664,0.0,0.0,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.1,0.23333333333333334,0.1,0.16666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.2,0.06666666666666667,0.16666666666666666,0.2,0.03333333333333333,0.03333333333333333,0.1,0.03333333333333333,0.0,0.0,0.0,0.1,0.3,0.0,0.5,0.0,0.03333333333333333,0.03333333333333333,0.0,0.8847807949897493,0.5578398593239305,1.4690710653609593,0.5590927248643507,0.71831614539068,1.0611043765374406,250.55585713917395,0.0004751644613333334,0.10263401800000001,0.0014039584403333335,0.0006266153939999999,0.11663324599999998,0.44779029000000004,0.03366779550342022,0.21801256533333335,0.0007846495813333334,0.0012332098826666668,0.0767384874035797,2.0,0,0,1,0,0,,,0.7998323231438651,,
