,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-03.maze_cluster0,m4.2022-07-03.maze_cluster1,m4.2022-07-03.maze_cluster2,m4.2022-07-03.maze_cluster3,m4.2022-07-03.maze_cluster4,m4.2022-07-03.maze_cluster5,m4.2022-07-03.maze_cluster6,m4.2022-07-03.maze_cluster7,m4.2022-07-03.maze_cluster8,m4.2022-07-03.maze_cluster9,m4.2022-07-03.maze_cluster10,m4.2022-07-03.maze_cluster11,m4.2022-07-03.maze_cluster12,m4.2022-07-03.maze_cluster13,m4.2022-07-03.maze_cluster14,m4.2022-07-03.maze_cluster15,m4.2022-07-03.maze_cluster16,m4.2022-07-03.maze_cluster17,m4.2022-07-03.maze_cluster18,m4.2022-07-03.maze_cluster19,m4.2022-07-03.maze_cluster20,m4.2022-07-03.maze_cluster21,m4.2022-07-03.maze_cluster22,m4.2022-07-03.maze_cluster23,m4.2022-07-03.maze_cluster24,m4.2022-07-03.maze_cluster25,m4.2022-07-03.maze_cluster26,m4.2022-07-03.maze_cluster27,m4.2022-07-03.maze_cluster28,m4.2022-07-03.maze_cluster29,m4.2022-07-03.maze_cluster30,m4.2022-07-03.maze_cluster31,m4.2022-07-03.maze_cluster32,m4.2022-07-03.maze_cluster33,m4.2022-07-03.maze_cluster34,m4.2022-07-03.maze_cluster35,m4.2022-07-03.maze_cluster37,m4.2022-07-03.maze_cluster38,m4.2022-07-03.maze_cluster39,m4.2022-07-03.maze_cluster40,m4.2022-07-03.maze_cluster41,m4.2022-07-03.maze_cluster42,m4.2022-07-03.maze_cluster43,m4.2022-07-03.maze_cluster44,m4.2022-07-03.maze_cluster45,m4.2022-07-03.maze_cluster46,m4.2022-07-03.maze_cluster47,m4.2022-07-03.maze_cluster48,m4.2022-07-03.maze_cluster49,m4.2022-07-03.maze_cluster50,m4.2022-07-03.maze_cluster51,m4.2022-07-03.maze_cluster52,m4.2022-07-03.maze_cluster53,m4.2022-07-03.maze_cluster54,m4.2022-07-03.maze_cluster55,m4.2022-07-03.maze_cluster56,m4.2022-07-03.maze_cluster57,m4.2022-07-03.maze_cluster58,m4.2022-07-03.maze_cluster59,m4.2022-07-03.maze_cluster60,m4.2022-07-03.maze_cluster61,m4.2022-07-03.maze_cluster62,m4.2022-07-03.maze_cluster63,m4.2022-07-03.maze_cluster64,m4.2022-07-03.maze_cluster65,m4.2022-07-03.maze_cluster66,m4.2022-07-03.maze_cluster67,m4.2022-07-03.maze_cluster68,m4.2022-07-03.maze_cluster69,m4.2022-07-03.maze_cluster70,m4.2022-07-03.maze_cluster71,m4.2022-07-03.maze_cluster72,m4.2022-07-03.maze_cluster73,m4.2022-07-03.maze_cluster74,m4.2022-07-03.maze_cluster75,m4.2022-07-03.maze_cluster76,m4.2022-07-03.maze_cluster77,m4.2022-07-03.maze_cluster78,m4.2022-07-03.maze_cluster79,m4.2022-07-03.maze_cluster80,m4.2022-07-03.maze_cluster81,m4.2022-07-03.maze_cluster82,m4.2022-07-03.maze_cluster83,m4.2022-07-03.maze_cluster84,m4.2022-07-03.maze_cluster85,m4.2022-07-03.maze_cluster86,m4.2022-07-03.maze_cluster87,m4.2022-07-03.maze_cluster88,m4.2022-07-03.maze_cluster89,m4.2022-07-03.maze_cluster90,m4.2022-07-03.maze_cluster91,m4.2022-07-03.maze_cluster92,m4.2022-07-03.maze_cluster93,m4.2022-07-03.maze_cluster94,m4.2022-07-03.maze_cluster95,m4.2022-07-03.maze_cluster96,m4.2022-07-03.maze_cluster97,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-03.maze_trial1,0.0,7.2696,0.13333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.23333333333333334,0.16666666666666666,0.1,0.03333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.1,0.1,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.1,0.0,0.3,0.1,0.03333333333333333,0.13333333333333333,0.0,0.1,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.23333333333333334,0.0,0.26666666666666666,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.3,0.13333333333333333,0.13333333333333333,0.0,0.0,1.9319043986942919,0.9591678574615534,4.148807949897492,1.2306666666666668,1.2303704010124281,0.5430930594191121,202.39497509526163,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.0,,,
1,m4.2022-07-03.maze_trial1,1.0,7.785413793103449,0.10344827586206896,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.13793103448275862,0.0,0.06896551724137931,0.034482758620689655,0.0,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,0.3103448275862069,0.034482758620689655,0.06896551724137931,0.2413793103448276,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.3103448275862069,0.0,0.1724137931034483,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.13793103448275862,0.0,0.0,0.0,0.20689655172413793,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.4482758620689655,0.10344827586206896,0.10344827586206896,0.0,0.0,1.9025710653609584,0.9693296652842107,4.119474616564159,1.26,1.2315586709730988,0.5282074517724781,189.45567907945042,5.554333e-07,0.00045842915999999995,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,4.0,0,0,0,0,1,,,,,0.0
2,m4.2022-07-03.maze_trial1,2.0,8.279821428571429,0.0,0.0,0.1,0.03333333333333333,0.1,0.0,0.0,0.0,0.13333333333333333,0.0,0.2,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.1,0.1,0.1,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.0,0.06666666666666667,0.0,0.36666666666666664,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.16666666666666666,0.26666666666666666,0.0,0.23333333333333334,0.1,0.0,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.1,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.23333333333333334,0.0,0.1,0.03333333333333333,0.03333333333333333,1.9025710653609584,0.9693296652842107,4.119474616564159,1.26,1.2309886846631752,0.5199249719147601,184.9959862024674,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.0,,,
3,m4.2022-07-03.maze_trial1,3.0,8.779107142857145,0.16666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.06666666666666667,0.1,0.16666666666666666,0.0,0.03333333333333333,0.1,0.03333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.03333333333333333,0.0,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.3333333333333333,0.0,0.4666666666666667,0.2,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.0,0.0,1.8714043986942919,0.9816506906488998,4.088307949897493,1.2911666666666666,1.2277671884212338,0.47945856880365256,185.90054261175348,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,4.0,0,0,0,0,1,,,,,0.0
4,m4.2022-07-03.maze_trial1,4.0,9.278689652870494,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.0,0.1,0.03333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.0,0.1,0.1,0.1,0.2,0.0,0.2,0.0,0.3333333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.0,0.3,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.4,0.16666666666666666,0.0,0.06666666666666667,0.0,0.0,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.1,0.0,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.23333333333333334,0.1,0.2,0.0,0.03333333333333333,1.845237732027625,0.992083180465431,4.062141283230826,1.3173333333333332,1.2353328052759673,0.4542831827303278,176.43858474934714,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.2197618442268272,,,
5,m4.2022-07-03.maze_trial1,5.0,9.778731308411215,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.06666666666666667,0.1,0.0,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.2,0.1,0.06666666666666667,0.03333333333333333,0.1,0.0,0.2,0.1,0.0,0.26666666666666666,0.0,0.23333333333333334,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.2,0.3,0.0,0.36666666666666664,0.1,0.0,0.16666666666666666,0.0,0.0,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.5666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.23333333333333334,0.2,0.0,0.0,1.775647292158196,1.020397017717284,3.9546048196867085,1.384295767209264,1.2226279774792208,0.37893273849868797,221.2683041181497,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.2197618442268272,,,
6,m4.2022-07-03.maze_trial1,6.0,10.278778037383177,0.0,0.0,0.0,0.06666666666666667,0.1,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.23333333333333334,0.1,0.13333333333333333,0.03333333333333333,0.0,0.2,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.1,0.03333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.2,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.1,0.0,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.16666666666666666,0.0,0.0,1.7483807102406388,1.049571341072154,3.8423794390039987,1.44,1.2176053284923376,0.3427585046728007,203.20663820799297,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.2197618442268272,,,
7,m4.2022-07-03.maze_trial1,7.0,10.77882476635514,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.1,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.26666666666666666,0.23333333333333334,0.0,0.1,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.0,0.16666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,1.7483807102406388,1.049571341072154,3.8423794390039987,1.44,1.2141153432507568,0.33122940223411296,213.74710311255,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,1.0,0,1,0,0,0,,0.2197618442268272,,,
8,m4.2022-07-03.maze_trial1,8.0,11.278871495327103,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.2,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.1,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.16666666666666666,0.26666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.0,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,0.0,0.16666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,1.7483807102406388,1.049571341072154,3.8423794390039987,1.44,1.2139360643980752,0.3255022726043763,207.6763258947788,5.554333e-07,0.00045842916,0.37986824,0.0040593953,0.00025991473,0.15048593,0.15090482,0.26219112,0.0014308918,0.0019318205,0.04840888307669999,0.0,1,0,0,0,0,0.0,,,,
